goos: linux
goarch: amd64
pkg: github.com/ajnavarro/super-blockstore
cpu: 11th Gen Intel(R) Core(TM) i7-1195G7 @ 2.90GHz
BenchmarkCompareDatastores/DS=gonudb/P=10/ACTION=WriteOnBatch-8         	  306937	     81264 ns/op	     440 B/op	       5 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/ACTION=Write-8                	 1000000	     69231 ns/op	     359 B/op	       5 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=100/ACTION=DiskUsage-8      	 3609436	       326.0 ns/op	         0 disk	       0 B/op	       0 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=100/ACTION=Read100EventlyDistributed/ITER=1-8  	    6349	    222457 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=100/ACTION=Read100EventlyDistributed/ITER=2-8  	    4972	    238466 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=100/ACTION=Read100EventlyDistributed/ITER=3-8  	    4666	    219192 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=100/ACTION=Read100ConsecutiveKeys/ITER=1-8     	    5227	    225616 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=100/ACTION=Read100ConsecutiveKeys/ITER=2-8     	    6058	    228812 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=100/ACTION=Read100ConsecutiveKeys/ITER=3-8     	    5402	    231873 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=100/ACTION=NonExistingKey/ITER=1-8             	 1660278	       710.6 ns/op	     160 B/op	       4 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=100/ACTION=NonExistingKey/ITER=2-8             	 1732400	       717.2 ns/op	     160 B/op	       4 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=100/ACTION=NonExistingKey/ITER=3-8             	 1672148	       701.5 ns/op	     160 B/op	       4 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=1000/ACTION=DiskUsage-8                        	 3651776	       323.0 ns/op	         0 disk	       0 B/op	       0 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=1000/ACTION=Read100EventlyDistributed/ITER=1-8 	    6279	    222433 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=1000/ACTION=Read100EventlyDistributed/ITER=2-8 	    5575	    223749 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=1000/ACTION=Read100EventlyDistributed/ITER=3-8 	    6232	    230135 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=1000/ACTION=Read100ConsecutiveKeys/ITER=1-8    	    6176	    230033 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=1000/ACTION=Read100ConsecutiveKeys/ITER=2-8    	    6133	    226596 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=1000/ACTION=Read100ConsecutiveKeys/ITER=3-8    	    4821	    224575 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=1000/ACTION=NonExistingKey/ITER=1-8            	 1632031	       716.7 ns/op	     160 B/op	       4 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=1000/ACTION=NonExistingKey/ITER=2-8            	 1659656	       710.4 ns/op	     160 B/op	       4 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=1000/ACTION=NonExistingKey/ITER=3-8            	 1678126	       712.5 ns/op	     160 B/op	       4 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=10000/ACTION=DiskUsage-8                       	 3744336	       328.5 ns/op	         0 disk	       0 B/op	       0 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=10000/ACTION=Read100EventlyDistributed/ITER=1-8         	    6228	    243447 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=10000/ACTION=Read100EventlyDistributed/ITER=2-8         	    4906	    233611 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=10000/ACTION=Read100EventlyDistributed/ITER=3-8         	    5265	    235863 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=10000/ACTION=Read100ConsecutiveKeys/ITER=1-8            	    6175	    230792 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=10000/ACTION=Read100ConsecutiveKeys/ITER=2-8            	    5205	    230530 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=10000/ACTION=Read100ConsecutiveKeys/ITER=3-8            	    4268	    236228 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=10000/ACTION=NonExistingKey/ITER=1-8                    	 1611740	       742.8 ns/op	     160 B/op	       4 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=10000/ACTION=NonExistingKey/ITER=2-8                    	 1598977	       763.6 ns/op	     160 B/op	       4 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=10000/ACTION=NonExistingKey/ITER=3-8                    	 1584067	       754.7 ns/op	     160 B/op	       4 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=100000/ACTION=DiskUsage-8                               	 3686034	       324.6 ns/op	         0 disk	       0 B/op	       0 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=100000/ACTION=Read100EventlyDistributed/ITER=1-8        	    6186	    197669 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=100000/ACTION=Read100EventlyDistributed/ITER=2-8        	    5466	    203585 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=100000/ACTION=Read100EventlyDistributed/ITER=3-8        	    5998	    194266 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=100000/ACTION=Read100ConsecutiveKeys/ITER=1-8           	    5984	    204210 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=100000/ACTION=Read100ConsecutiveKeys/ITER=2-8           	    6212	    201499 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=100000/ACTION=Read100ConsecutiveKeys/ITER=3-8           	    6177	    205682 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=100000/ACTION=NonExistingKey/ITER=1-8                   	 1798887	       673.7 ns/op	     160 B/op	       4 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=100000/ACTION=NonExistingKey/ITER=2-8                   	 1808902	       669.9 ns/op	     160 B/op	       4 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=10/N=100000/ACTION=NonExistingKey/ITER=3-8                   	 1789233	       671.2 ns/op	     160 B/op	       4 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=262144/ACTION=WriteOnBatch-8                                 	  314217	     82140 ns/op	     434 B/op	       5 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=262144/ACTION=Write-8                                        	  955087	     72657 ns/op	     362 B/op	       5 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=262144/N=100/ACTION=DiskUsage-8                              	 3722209	       325.8 ns/op	         0 disk	       0 B/op	       0 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=262144/N=100/ACTION=Read100EventlyDistributed/ITER=1-8       	    6381	    218927 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=262144/N=100/ACTION=Read100EventlyDistributed/ITER=2-8       	    6039	    240901 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=262144/N=100/ACTION=Read100EventlyDistributed/ITER=3-8       	    5074	    217245 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=262144/N=100/ACTION=Read100ConsecutiveKeys/ITER=1-8          	    4938	    219870 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=262144/N=100/ACTION=Read100ConsecutiveKeys/ITER=2-8          	    5356	    220850 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=262144/N=100/ACTION=Read100ConsecutiveKeys/ITER=3-8          	    6140	    236271 ns/op	   84800 B/op	     900 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=262144/N=100/ACTION=NonExistingKey/ITER=1-8                  	 1707260	       741.5 ns/op	     160 B/op	       4 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=262144/N=100/ACTION=NonExistingKey/ITER=2-8                  	 1749276	       763.4 ns/op	     160 B/op	       4 allocs/op
BenchmarkCompareDatastores/DS=gonudb/P=262144/N=100/ACTION=NonExistingKey/ITER=3-8                  	 1678489	       695.4 ns/op	     160 B/op	       4 allocs/op
